source,canton_nom,region,prefecture_nom,FRI,fri_classe,total_pop,proxy_risque_panne,coord_invalide,score_statut,maintenance_manquante,location_name,latitude,longitude,forage_chateau_nom
COSO,Sanfatoute,Savanes,E07,0.0695457727810199,Faible,9150.518297,Risque modéré,True,1.0,0.0,TIDONTE CENTRE,0.0,0.0,
COSO,Tchamonga,Savanes,E05,0.16303100343295712,Élevé,25849.078,Risque élevé,True,1.0,1.0,DAKPALI 1,,,
COSO,Pogno,Savanes,E03,0.07935431523311563,Modéré,19484.478752,Risque élevé,True,1.0,1.0,EDOGA 2,0.0,0.0,
COSO,Gando,Savanes,E05,0.09015667302148637,Modéré,27533.431500000002,Risque élevé,True,1.0,1.0,DJOULE-TCHAMONGA,,,
COSO,Gando,Savanes,E05,0.09015667302148637,Modéré,27533.431500000002,Risque élevé,True,1.0,1.0,N'GAMBI,,,
COSO,Korbongou,Savanes,E07,0.09691527854716563,Modéré,47598.911181,Risque élevé,True,1.0,1.0,KORBONGOU CENTRE,,,
COSO,Sam-Naba,Savanes,E01,0.07634589956315013,Faible,9367.473667,Risque élevé,True,1.0,1.0,BONDANTCHALE (SAM-NABA),0.0,0.0,
COSO,Sam-Naba,Savanes,E01,0.07634589956315013,Faible,9367.473667,Risque élevé,True,1.0,1.0,SALAMOU,0.0,0.0,
COSO,Sam-Naba,Savanes,E01,0.07634589956315013,Faible,9367.473667,Risque élevé,True,1.0,1.0,YANGBONGBONGUE,0.0,0.0,
COSO,Sam-Naba,Savanes,E01,0.07634589956315013,Faible,9367.473667,Risque élevé,True,1.0,1.0,TINTARGUINE 2,0.0,0.0,
COSO,Sam-Naba,Savanes,E01,0.07634589956315013,Faible,9367.473667,Risque élevé,True,1.0,1.0,TINTARGUINE 1,0.0,0.0,
COSO,,Savanes,,0.09829211963759525,,16893.74207791045,Risque modéré,True,0.0,1.0,BOUSSANGA 1,0.0,0.0,
COSO,,Savanes,,0.09829211963759525,,16893.74207791045,Risque élevé,True,1.0,1.0,GOYAMBA 1,0.0,0.0,
COSO,,Savanes,,0.09829211963759525,,16893.74207791045,Risque modéré,True,0.0,1.0,GOYAMBA 2,0.0,0.0,
COSO,,Savanes,,0.09829211963759525,,16893.74207791045,Faible risque,True,0.0,0.0,KALYADA,0.0,0.0,
COSO,,Savanes,,0.09829211963759525,,16893.74207791045,Risque élevé,True,1.0,1.0,KOMOULOGOU 2,0.0,0.0,
COSO,,Savanes,,0.09829211963759525,,16893.74207791045,Risque modéré,True,0.0,1.0,KOWONGO,0.0,0.0,
COSO,,Savanes,,0.09829211963759525,,16893.74207791045,Faible risque,True,0.0,0.0,KPALBIAGA 1,0.0,0.0,
COSO,,Savanes,,0.09829211963759525,,16893.74207791045,Risque modéré,True,0.0,1.0,KPALBIAGA 2,0.0,0.0,
COSO,,Savanes,,0.09829211963759525,,16893.74207791045,Faible risque,True,0.0,0.0,NONLEDE,0.0,0.0,
COSO,,Savanes,,0.09829211963759525,,16893.74207791045,Risque élevé,True,1.0,1.0,PIZOSGO 1,0.0,0.0,
COSO,,Savanes,,0.09829211963759525,,16893.74207791045,Risque modéré,True,0.0,1.0,POGOYOGO 2,0.0,0.0,
COSO,,Savanes,,0.09829211963759525,,16893.74207791045,Risque modéré,True,0.0,1.0,SIAMBIN,0.0,0.0,
COSO,,Savanes,,0.09829211963759525,,16893.74207791045,Faible risque,True,0.0,0.0,WOMNOGO,0.0,0.0,
COSO,,Savanes,,0.09829211963759525,,16893.74207791045,Risque modéré,True,0.0,1.0,GANGA,,,
COSO,,Savanes,,0.09829211963759525,,16893.74207791045,Risque élevé,True,1.0,1.0,KPÉKIBONGUE,0.0,0.0,
COSO,,Savanes,,0.09829211963759525,,16893.74207791045,Risque élevé,True,1.0,1.0,SANDJAK 2,,,
COSO,,Savanes,,0.09829211963759525,,16893.74207791045,Risque élevé,True,1.0,1.0,NOK-DONG,0.0,0.0,
TdE,Agoè-Nyivé,Maritime,A01,0.4930971372315273,Élevé,358223.442808,Non évalué (donnée indisponible),False,,,,,,Forage
TdE,Agoè-Nyivé,Maritime,A01,0.4930971372315273,Élevé,358223.442808,Non évalué (donnée indisponible),False,,,,,,Forage
TdE,Agoè-Nyivé,Maritime,A01,0.4930971372315273,Élevé,358223.442808,Non évalué (donnée indisponible),False,,,,,,Forage
TdE,Agoè-Nyivé,Maritime,A01,0.4930971372315273,Élevé,358223.442808,Non évalué (donnée indisponible),False,,,,,,Forage
TdE,Agoè-Nyivé,Maritime,A01,0.4930971372315273,Élevé,358223.442808,Non évalué (donnée indisponible),False,,,,,,Forage
TdE,Agoè-Nyivé,Maritime,A01,0.4930971372315273,Élevé,358223.442808,Non évalué (donnée indisponible),False,,,,,,Forage
TdE,Agoè-Nyivé,Maritime,A01,0.4930971372315273,Élevé,358223.442808,Non évalué (donnée indisponible),False,,,,,,Forage
TdE,Agoè-Nyivé,Maritime,A01,0.4930971372315273,Élevé,358223.442808,Non évalué (donnée indisponible),False,,,,,,Forage
TdE,Agoè-Nyivé,Maritime,A01,0.4930971372315273,Élevé,358223.442808,Non évalué (donnée indisponible),False,,,,,,Forage
TdE,Agoè-Nyivé,Maritime,A01,0.4930971372315273,Élevé,358223.442808,Non évalué (donnée indisponible),False,,,,,,Forage
TdE,Agoè-Nyivé,Maritime,A01,0.4930971372315273,Élevé,358223.442808,Non évalué (donnée indisponible),False,,,,,,Forage
TdE,Agoè-Nyivé,Maritime,A01,0.4930971372315273,Élevé,358223.442808,Non évalué (donnée indisponible),False,,,,,,Forage
TdE,Agoè-Nyivé,Maritime,A01,0.4930971372315273,Élevé,358223.442808,Non évalué (donnée indisponible),False,,,,,,Forage
TdE,Agoè-Nyivé,Maritime,A01,0.4930971372315273,Élevé,358223.442808,Non évalué (donnée indisponible),False,,,,,,Forage
TdE,Agoè-Nyivé,Maritime,A01,0.4930971372315273,Élevé,358223.442808,Non évalué (donnée indisponible),False,,,,,,Forage
TdE,Agoè-Nyivé,Maritime,A01,0.4930971372315273,Élevé,358223.442808,Non évalué (donnée indisponible),False,,,,,,Forage
TdE,Agoè-Nyivé,Maritime,A01,0.4930971372315273,Élevé,358223.442808,Non évalué (donnée indisponible),False,,,,,,Forage
TdE,Agoè-Nyivé,Maritime,A01,0.4930971372315273,Élevé,358223.442808,Non évalué (donnée indisponible),False,,,,,,Forage
TdE,Agoè-Nyivé,Maritime,A01,0.4930971372315273,Élevé,358223.442808,Non évalué (donnée indisponible),False,,,,,,Forage
TdE,Légbassito,Maritime,A01,0.34328626002598667,Élevé,154480.559802,Non évalué (donnée indisponible),False,,,,,,Forage
TdE,Légbassito,Maritime,A01,0.34328626002598667,Élevé,154480.559802,Non évalué (donnée indisponible),False,,,,,,Forage
TdE,Légbassito,Maritime,A01,0.34328626002598667,Élevé,154480.559802,Non évalué (donnée indisponible),False,,,,,,Forage
TdE,Vakpossito,Maritime,A01,0.24856343264341363,Élevé,63267.95692700001,Non évalué (donnée indisponible),False,,,,,,Forage
TdE,Vakpossito,Maritime,A01,0.24856343264341363,Élevé,63267.95692700001,Non évalué (donnée indisponible),False,,,,,,Forage
TdE,Vakpossito,Maritime,A01,0.24856343264341363,Élevé,63267.95692700001,Non évalué (donnée indisponible),False,,,,,,Forage
TdE,Vakpossito,Maritime,A01,0.24856343264341363,Élevé,63267.95692700001,Non évalué (donnée indisponible),False,,,,,,Forage
TdE,Vakpossito,Maritime,A01,0.24856343264341363,Élevé,63267.95692700001,Non évalué (donnée indisponible),False,,,,,,Nsp
TdE,Togblekope,Maritime,A01,0.41444260352557744,Élevé,179199.320921,Non évalué (donnée indisponible),False,,,,,,Forage
TdE,Togblekope,Maritime,A01,0.41444260352557744,Élevé,179199.320921,Non évalué (donnée indisponible),False,,,,,,Forage
TdE,Togblekope,Maritime,A01,0.41444260352557744,Élevé,179199.320921,Non évalué (donnée indisponible),False,,,,,,Château de Dikame
TdE,Togblekope,Maritime,A01,0.41444260352557744,Élevé,179199.320921,Non évalué (donnée indisponible),False,,,,,,Forage
TdE,Togblekope,Maritime,A01,0.41444260352557744,Élevé,179199.320921,Non évalué (donnée indisponible),False,,,,,,Château de Fidokpui
TdE,Togblekope,Maritime,A01,0.41444260352557744,Élevé,179199.320921,Non évalué (donnée indisponible),False,,,,,,Forage
TdE,Adétikopé,Maritime,A01,0.22269216254564025,Élevé,52840.089426,Non évalué (donnée indisponible),False,,,,,,Forage B'16Bis
TdE,Adétikopé,Maritime,A01,0.22269216254564025,Élevé,52840.089426,Non évalué (donnée indisponible),False,,,,,,Forage
TdE,Adétikopé,Maritime,A01,0.22269216254564025,Élevé,52840.089426,Non évalué (donnée indisponible),False,,,,,,Forage
TdE,Adétikopé,Maritime,A01,0.22269216254564025,Élevé,52840.089426,Non évalué (donnée indisponible),False,,,,,,Forage C'10
TdE,Adétikopé,Maritime,A01,0.22269216254564025,Élevé,52840.089426,Non évalué (donnée indisponible),False,,,,,,Forage
TdE,Vogan,Maritime,A06,0.24144304608030634,Élevé,58675.742912,Non évalué (donnée indisponible),False,,,,,,Forage Massekope
TdE,Vogan,Maritime,A06,0.24144304608030634,Élevé,58675.742912,Non évalué (donnée indisponible),False,,,,,,Forage
TdE,Vogan,Maritime,A06,0.24144304608030634,Élevé,58675.742912,Non évalué (donnée indisponible),False,,,,,,Forage
TdE,Kpétsou,Maritime,A03,0.08726239604091546,Modéré,13667.775344000001,Non évalué (donnée indisponible),False,,,,,,Forage de Kpessou
TdE,Vo-Koutimé,Maritime,A06,0.07552516583013105,Faible,17235.135028,Non évalué (donnée indisponible),False,,,,,,Nsp
TdE,Vo-Koutimé,Maritime,A06,0.07552516583013105,Faible,17235.135028,Non évalué (donnée indisponible),False,,,,,,Nsp
TdE,Vo-Koutimé,Maritime,A06,0.07552516583013105,Faible,17235.135028,Non évalué (donnée indisponible),False,,,,,,Nsp
TdE,Togoville,Maritime,A06,0.12052462137294964,Modéré,22257.389248,Non évalué (donnée indisponible),False,,,,,,Forage
TdE,Togoville,Maritime,A06,0.12052462137294964,Modéré,22257.389248,Non évalué (donnée indisponible),False,,,,,,Nsp
TdE,Afagnangan,Maritime,A03,0.2814943944922352,Élevé,17676.188806000002,Non évalué (donnée indisponible),False,,,,,,Forage de Saint Jean de Dieu
TdE,Agome-Glozou,Maritime,A03,0.09777326439782358,Modéré,11154.366591,Non évalué (donnée indisponible),False,,,,,,Forage du Château de Agbetiko
TdE,Dagbati,Maritime,A06,0.08746017833982817,Modéré,26317.452928000002,Non évalué (donnée indisponible),False,,,,,,Nsp
TdE,Dzrékpo,Maritime,A06,0.09080952168892195,Modéré,16098.905780000001,Non évalué (donnée indisponible),False,,,,,,Nsp
TdE,Aflao-Sagbado,Maritime,A04,0.5363070271574523,Élevé,429551.976791,Non évalué (donnée indisponible),False,,,,,,Forage de Lankouvi
TdE,Aflao-Sagbado,Maritime,A04,0.5363070271574523,Élevé,429551.976791,Non évalué (donnée indisponible),False,,,,,,Forage de Kleme
TdE,Aklakou,Maritime,A05,0.12809816331714366,Élevé,16023.308526,Non évalué (donnée indisponible),False,,,,,,Forage de Aklakou
TdE,Fiata,Maritime,A05,0.08385405217716504,Modéré,21109.450521,Non évalué (donnée indisponible),False,,,,,,Forage de Attoeta
TdE,Ganavé,Maritime,A05,0.07883543587835735,Faible,13326.048686,Non évalué (donnée indisponible),False,,,,,,Forage de Fiata
TdE,Dalavé,Maritime,A08,0.21194754158122667,Élevé,24395.010801,Non évalué (donnée indisponible),False,,,,,,Forage
TdE,Dalavé,Maritime,A08,0.21194754158122667,Élevé,24395.010801,Non évalué (donnée indisponible),False,,,,,,Forage
TdE,Gbatopé,Maritime,A08,0.09163910686267604,Modéré,17898.923668,Non évalué (donnée indisponible),False,,,,,,Forage
TdE,Gbatopé,Maritime,A08,0.09163910686267604,Modéré,17898.923668,Non évalué (donnée indisponible),False,,,,,,Forage
TdE,Gbatopé,Maritime,A08,0.09163910686267604,Modéré,17898.923668,Non évalué (donnée indisponible),False,,,,,,Forage
TdE,Gbatopé,Maritime,A08,0.09163910686267604,Modéré,17898.923668,Non évalué (donnée indisponible),False,,,,,,Forage
TdE,Gbatopé,Maritime,A08,0.09163910686267604,Modéré,17898.923668,Non évalué (donnée indisponible),False,,,,,,Forage
TdE,Gbatopé,Maritime,A08,0.09163910686267604,Modéré,17898.923668,Non évalué (donnée indisponible),False,,,,,,Forage
TdE,Tchamba,Centrale,C04,0.2408882202204571,Élevé,51412.713723,Non évalué (donnée indisponible),False,,,,,,Larini
TdE,Agbodrafo,Maritime,A05,0.49207349082298196,Élevé,89404.008475,Non évalué (donnée indisponible),False,,,,,,Forage de Kpeme
TdE,Wahala,Plateaux,B07,0.16539548574364726,Élevé,45121.113775,Non évalué (donnée indisponible),False,,,,,,Forage de Château d'Eau
